MatchID,TeamName,FirstBlood,FirstBaron,DragonKills,BaronKills
683,Team Xujajum,No,No,4,3
966,ZenuXowor,Yes,No,3,2
291,PewuKim,No,Yes,2,1
540,QunubQas,No,Yes,1,3
783,Duzegofa Gaming,Yes,Yes,2,2
419,Marax Esports,No,No,2,3
368,Team Cukejeme,No,Yes,2,0
127,Silevose Bogipove,Yes,Yes,4,2
604,Paweqep Gaming,Yes,No,0,0
316,Cohiluga Esports,No,Yes,4,1
240,Sehas FC,Yes,No,0,2
322,Dudixu Xopomilu,No,Yes,3,0
329,Rixebew Husetojo,Yes,Yes,2,0
900,SadiLuwez,Yes,No,3,1
182,Xemiyona Watateya,Yes,Yes,0,3
507,Zabigid Gaming,No,No,1,0
198,Team Moqubo,Yes,No,5,0
898,Jegevu FC,No,Yes,0,1
481,Team Tefecugo,Yes,Yes,5,2
927,Nuxida United,Yes,Yes,4,2
624,Team Qosorap,No,Yes,3,2
656,WevZiji,Yes,No,2,1
586,JeseMiceq,No,No,4,0
551,Xoyaxa FC,Yes,Yes,3,2
959,Team Qosorap,No,Yes,4,3
281,Romasivi Gaming,No,Yes,5,2
111,Nujamox Xoyet,Yes,No,1,3
498,Zenoko United,No,No,0,3
618,Wuyeziy Gaming,No,Yes,4,2
220,Gololuho Esports,Yes,No,5,3
928,Buyoxow Esports,No,No,2,3
925,HemRuge,No,Yes,4,1
361,Miseyogi FC,No,No,3,0
604,Suseni Gaming,No,Yes,0,2
253,Wunur Hoqomi,No,Yes,5,1
440,Nemuray Tujebi,No,No,1,3
292,Team Zuvel,Yes,Yes,0,2
592,Team Yudufib,No,Yes,2,1
985,Team Muwijin,Yes,Yes,2,0
141,Team Xizuvuc,No,Yes,5,3
160,MitSeb,No,Yes,1,1
907,Wapul Jusurefe,Yes,No,0,3
442,Dufewez Wokaf,No,Yes,5,0
396,Locimuh Qiluhi,No,No,1,0
498,FeyeHojiw,Yes,Yes,1,2
31,Humoto Esports,Yes,No,2,3
814,Team Lefusiw,Yes,No,5,2
175,Team Xuvum,No,No,4,2
206,Taqaten Esports,No,No,2,0
151,Team Degecut,Yes,Yes,2,3
424,DeciTod,No,No,5,3
956,LolaWaye,Yes,No,2,0
488,Fajipo Vufeze,No,No,3,2
397,Zabigid Gaming,Yes,Yes,5,3
566,Zisiyu Yupurof,Yes,Yes,2,1
826,Repiku Fodusuc,No,No,0,3
631,Tewur Lijesi,Yes,Yes,0,1
453,Team Tefecugo,Yes,No,5,2
829,RanugRen,Yes,Yes,4,3
5,WawiWaz,No,Yes,2,2
495,Repiku Fodusuc,Yes,Yes,4,1
867,Wetiref Vuxak,No,Yes,5,2
873,Paweqep Gaming,No,Yes,1,3
404,Fadipow Sukipo,Yes,No,3,2
931,FuwRuh,Yes,Yes,2,1
278,Team Xujajum,No,No,3,2
418,QimeDeqi,No,Yes,1,0
849,Vufivese Pezusopo,No,No,1,1
53,Qepepige Esports,Yes,Yes,3,3
833,Demut United,Yes,Yes,2,1
746,Team Negoru,No,No,5,1
219,PowuwBowo,No,No,0,2
958,Team Yivuyup,Yes,No,4,1
736,WemukGiv,No,No,2,3
792,Tixiruti Esports,No,Yes,0,1
572,Zabigid Gaming,Yes,No,4,3
345,TamefVag,Yes,No,2,1
995,Gabogo United,No,Yes,4,1
644,Team Xawakej,No,Yes,5,0
168,Team Qedoli,Yes,Yes,5,1
264,Vayana Katoqe,No,Yes,4,1
598,Demut United,Yes,Yes,4,1
611,XozePox,No,No,3,2
17,Team Qefik,No,No,5,2
704,QirejZayo,No,No,1,0
376,Team Cotuwiha,No,No,3,3
215,Jibiz Gaming,No,No,1,2
258,Qadibali Gebemil,Yes,No,4,1
1,Team Muwijin,Yes,Yes,2,2
138,Zisiyu Yupurof,Yes,No,2,2
95,WawiWaz,Yes,No,4,1
828,HonibVohu,Yes,No,2,1
50,Goyajel FC,No,Yes,1,3
621,Vojop Jabev,Yes,Yes,3,1
613,Badov Esports,Yes,Yes,0,2
921,Yelozen United,No,Yes,4,0
787,Coqof Fevejos,No,Yes,5,3
430,Mefavur United,No,Yes,3,1
63,Suseni Gaming,Yes,Yes,3,3
649,Team Niwaxav,No,No,0,0
379,Fewena Muluwayu,Yes,No,3,2
858,Goyajel FC,Yes,Yes,2,3
277,KojCuq,Yes,Yes,3,2
301,WagLaga,Yes,No,2,1
790,Hepiwewu United,Yes,Yes,0,0
548,Wetiref Vuxak,Yes,No,5,2
843,Votiqex Dilibiwe,No,No,4,1
839,Yifac Gaming,No,Yes,0,0
231,Team Vamizu,Yes,Yes,2,1
305,Team Qeyoloq,No,Yes,5,0
912,KofarBayu,Yes,No,1,2
463,Team Rixerinu,No,No,3,2
408,Team Kanux,No,No,1,1
598,Romasivi Gaming,No,No,3,1
239,Jajavayu FC,No,Yes,4,3
555,Wufiqazo FC,Yes,Yes,1,3
706,Wufiqazo FC,Yes,Yes,3,3
33,Nemuray Tujebi,Yes,Yes,1,1
634,Waredife FC,Yes,No,0,3
504,FosZemu,Yes,No,3,0
441,Paxaso Puzotoju,No,No,3,1
739,NacosKufug,No,No,1,1
436,Team Wukot,Yes,Yes,5,1
499,Team Gowuz,Yes,Yes,2,0
572,Team Xawakej,No,Yes,2,2
618,Team Kuzucocu,Yes,No,2,1
545,Qufuh FC,Yes,No,3,0
528,Maqocoy FC,Yes,Yes,3,3
330,Team Woqenahi,No,Yes,3,0
460,Team Mebexuv,Yes,No,1,0
660,Team Heraku,No,Yes,0,2
825,Mizuca Wegobo,No,Yes,5,0
250,Team Cotuwiha,Yes,Yes,5,1
640,Team Yejuluxi,Yes,No,0,2
349,KofarBayu,Yes,Yes,4,3
512,Wunur Hoqomi,Yes,Yes,1,2
872,Team Mapukupa,Yes,No,0,2
779,Gololuho Esports,No,Yes,4,2
201,Team Vocadi,Yes,No,5,1
35,GavSeg,No,No,1,1
801,Cuyex Yuyaj,No,No,3,3
51,Taqaten Esports,Yes,No,3,1
345,Cefof United,No,Yes,5,1
282,ZuhDux,No,Yes,1,0
874,Yemesom Qajot,No,No,3,2
509,Badov Esports,No,Yes,5,2
100,Tojim Bokaqi,No,Yes,5,2
356,Xoyaxa FC,Yes,Yes,4,0
562,QajadKek,Yes,No,5,2
455,Team Qejoc,No,No,5,3
404,Cikeceze Givaxoq,No,Yes,1,1
978,SadiLuwez,No,No,4,3
50,Josiza Gaming,Yes,No,2,2
370,MopoJeti,Yes,Yes,5,3
683,Puvorura United,Yes,Yes,5,2
791,Team Migosu,No,Yes,2,0
444,Romasivi Gaming,No,No,3,2
619,DeciTod,Yes,Yes,0,2
441,Sogoyaje Hukejof,Yes,Yes,2,3
27,Team Qakihuzi,Yes,Yes,4,0
860,Team Bisane,No,No,5,1
794,Team Delegi,Yes,Yes,0,2
705,Bemuf Vibos,No,Yes,2,2
733,Gixido Bukur,Yes,No,0,0
710,Team Bedizoku,No,No,4,3
132,Luwihiy Gaming,Yes,No,0,0
806,VacQoho,Yes,Yes,1,3
735,XeqeqKim,Yes,No,1,0
194,XanusDuv,No,Yes,2,0
696,Team Tecajofi,Yes,No,0,1
941,QimeDeqi,No,No,3,0
437,Team Sokuv,No,No,2,2
225,Waredife FC,Yes,No,2,3
602,VezaZipok,No,Yes,2,3
62,Yaculime Poricu,No,No,5,1
464,NesinDuko,Yes,Yes,0,2
911,YotoqQuxa,Yes,Yes,3,0
959,XadusJobe,Yes,No,2,1
375,Team Qizodez,Yes,No,4,1
877,Team Pusohi,No,No,4,1
894,FeyoFej,No,Yes,0,1
213,Fewena Muluwayu,No,No,2,1
989,Romasivi Gaming,No,No,3,2
233,Yejifeg Pufojisi,Yes,Yes,3,0
944,Team Yivuyup,Yes,Yes,4,2
750,Team Panux,Yes,No,5,0
596,Cejudol Sacaken,Yes,Yes,1,1
48,MayiLonun,Yes,Yes,0,2
973,Team Biqad,No,No,2,3
20,Gigim Foroc,No,Yes,1,0
801,Team Holico,Yes,Yes,4,3
800,Team Nasifihe,Yes,Yes,2,3
267,Covojag Jepuco,Yes,No,0,3
137,Toneg Mizuxi,No,Yes,0,0
615,Wujuso Tusiwi,No,No,3,1
972,HanXogij,Yes,No,1,3
112,WafurPom,Yes,No,0,2
433,Vojop Jabev,No,No,2,0
468,Tiresep FC,Yes,No,1,0
246,Pepoquzu Lulijuji,No,No,1,0
241,Team Moqubo,Yes,No,0,1
330,Jubayuda Quheped,Yes,No,2,0
377,Team Zuvel,No,Yes,5,0
471,Team Mijey,Yes,No,4,2
270,Zevozoza United,No,Yes,2,2
194,Tixiruti Esports,Yes,No,2,2
192,XozePox,Yes,No,1,3
473,Fajipo Vufeze,No,Yes,0,0
934,Yonafobo Esports,No,No,3,2
464,WagLaga,No,No,3,0
692,FosZemu,Yes,Yes,2,1
5,LiqNeg,Yes,No,3,1
501,Nilukeze Noran,Yes,Yes,1,1
885,Zoracig Esports,No,Yes,3,3
105,Pitoyav Moyeviwo,Yes,Yes,1,3
525,Woyejice Gaming,No,Yes,3,0
10,Puvorura United,Yes,Yes,4,0
444,Jegevu FC,Yes,Yes,3,2
75,QajadKek,Yes,No,4,3
135,Focozi Gejoheg,No,No,2,1
981,Team Xixadib,No,No,5,1
884,Rovili Yekom,No,Yes,1,3
86,MitSeb,No,No,5,1
89,Team Xizuvuc,Yes,Yes,1,0
398,Fuqicar United,No,No,1,1
283,RikiYec,No,No,2,1
806,Kixejeca Gaming,No,No,5,0
240,Yiwafuw Gaming,No,Yes,1,0
645,Rixebew Husetojo,No,Yes,2,1
327,Silevose Bogipove,Yes,No,2,3
83,XifJokis,No,No,4,2
485,Silevose Bogipove,Yes,Yes,0,1
675,Mefavur United,Yes,No,5,0
76,Luxode United,No,No,0,2
265,JeseMiceq,Yes,No,2,3
224,YitVekoj,Yes,No,1,1
377,Paseca Gaming,Yes,No,3,1
413,Vojop Jabev,Yes,Yes,4,2
523,Team Mijey,Yes,No,3,0
490,XukZadul,Yes,No,2,2
537,FeyoFej,Yes,No,5,0
501,Team Wohus,No,No,2,1
336,Team Gihoc,Yes,Yes,1,0
185,Foyat Gaming,No,Yes,2,1
928,Team Xutodoze,Yes,Yes,3,3
381,QelKulu,Yes,No,4,2
813,DugeZah,No,Yes,1,3
384,Yemesom Qajot,No,Yes,5,3
999,Yitac United,No,Yes,2,2
229,Wetiref Vuxak,Yes,Yes,2,1
752,Team Qosorap,Yes,No,0,0
71,Team Qakihuzi,No,Yes,0,1
465,Nujamox Xoyet,No,No,1,3
372,Paseca Gaming,No,Yes,0,0
924,Hepiwewu United,No,No,1,2
76,WiniNakij,Yes,Yes,1,0
917,Zabigid Gaming,No,Yes,0,3
232,Team Xizuz,Yes,Yes,1,3
7,Gixido Bukur,No,Yes,1,2
72,VeqDazid,No,Yes,2,0
819,ToyiGum,Yes,Yes,3,3
271,QimeDeqi,Yes,Yes,3,2
708,VezaZipok,Yes,Yes,4,1
414,Waredife FC,Yes,Yes,5,2
1,Tasen United,No,No,2,0
459,Team Qosorap,No,Yes,1,2
23,RoyJome,Yes,Yes,0,2
531,Zezusoge Esports,No,Yes,3,1
197,Gezato Solam,No,Yes,2,2
273,Taqaten Esports,Yes,No,4,2
662,Buyoxow Esports,Yes,Yes,0,1
296,Team Mapukupa,No,No,0,3
257,DixusRadeg,Yes,No,1,2
29,Qorig Esports,Yes,Yes,5,0
417,Yapinu Fexot,No,No,1,3
911,Josiza Gaming,No,No,3,0
282,FeyeHojiw,Yes,No,3,1
346,BojupJilu,No,Yes,3,0
204,XiwaNuxo,Yes,No,0,0
186,Team Qedoli,No,No,2,2
11,Cadim Esports,No,Yes,0,0
722,HuruLaho,Yes,No,3,0
142,Zapucaz Rigawi,Yes,Yes,4,3
227,QezYehe,No,Yes,1,2
23,VavQihej,No,No,5,1
696,Zezusoge Esports,No,Yes,2,3
439,NediDor,Yes,No,2,3
362,GifebLafa,Yes,No,5,0
823,Puhipizi Qedeqi,Yes,No,4,1
363,Bejahiru Hoxov,Yes,No,0,2
54,WemukGiv,No,No,1,3
403,BojupJilu,No,Yes,2,2
831,XifJokis,No,No,0,0
26,Yohakoje Esports,Yes,Yes,1,1
805,FosZemu,No,No,3,3
477,Team Gowuz,No,Yes,3,1
285,Team Mebexuv,No,No,0,1
747,RubovYive,No,Yes,0,3
247,WafurPom,No,Yes,3,1
349,Waviluv United,No,No,1,1
698,Higax Esports,Yes,No,3,0
298,FeyoFej,No,No,5,3
113,Focozi Gejoheg,Yes,No,3,0
610,Team Qosorap,Yes,No,0,3
996,ZuhDux,No,Yes,1,1
857,Qanado Esports,No,No,2,3
635,Toneg Mizuxi,No,Yes,0,1
490,Bufog FC,No,Yes,0,2
730,Zapucaz Rigawi,No,Yes,0,0
547,Zelozej Esports,No,No,4,1
596,RajihSih,No,No,3,2
99,Coqof Fevejos,No,Yes,2,2
173,Qepepige Esports,Yes,No,3,3
675,HanXogij,No,Yes,0,1
316,RoyJome,Yes,No,5,0
283,GifebLafa,Yes,Yes,4,2
648,Wafeqa United,No,Yes,3,2
914,Team Mexubaj,Yes,No,2,3
500,XosegMukek,Yes,No,5,3
419,Waviluv United,Yes,Yes,1,2
821,Team Wiqeb,Yes,No,0,1
248,Team Cagis,Yes,No,5,0
563,Humos United,No,No,4,1
175,Yaculime Poricu,Yes,Yes,0,0
557,Team Xizuvuc,Yes,No,3,0
381,Woyejice Gaming,No,Yes,5,3
657,LilozZehi,No,No,3,3
669,Notof Cubuteyi,Yes,Yes,1,3
274,ToyiGum,Yes,No,4,0
502,Team Yetapowo,No,Yes,4,2
591,Pitoyav Moyeviwo,Yes,No,5,0
287,Cejudol Sacaken,Yes,No,3,0
56,KoqMakoq,No,No,5,3
78,QajadKek,Yes,No,0,2
492,FuhZasuf,Yes,Yes,1,2
252,Deduy Xageqam,No,Yes,1,0
668,PowuwBowo,Yes,Yes,2,3
718,Team Zatula,Yes,No,3,3
193,HetiwJafa,Yes,No,5,0
553,Yonafobo Esports,Yes,Yes,1,3
109,Covojag Jepuco,Yes,Yes,4,3
223,Focozi Gejoheg,Yes,No,3,2
741,Tubuq Cubebog,Yes,Yes,3,0
795,FuwRuh,Yes,Yes,1,3
473,Team Karufo,Yes,No,3,3
956,Deduy Xageqam,No,Yes,0,3
926,Team Facom,Yes,Yes,1,0
410,Team Nezolu,Yes,Yes,2,3
484,DeciTod,No,No,4,3
367,Team Qefik,No,No,0,1
393,Team Zatula,Yes,No,4,2
313,Deduy Xageqam,Yes,Yes,4,3
876,WagLaga,Yes,Yes,0,0
734,Nekom FC,No,No,2,1
710,JoqiCuyot,Yes,Yes,4,1
626,Team Bisane,Yes,No,2,2
487,Team Hetuwor,Yes,Yes,0,3
984,Team Panux,No,Yes,3,2
325,Waviluv United,Yes,No,2,2
420,VavQihej,No,No,4,0
715,Team Hetuwor,No,No,2,2
295,Fewena Muluwayu,Yes,No,3,1
502,Team Xixadib,Yes,No,2,0
542,Hibot Vumefuwi,No,No,5,0
866,Xoyaxa FC,No,No,1,3
773,YotoqQuxa,Yes,No,3,0
757,Hicoyoh Cofim,No,No,3,2
724,Team Jeledek,No,No,3,2
922,Vujoxaga Esports,Yes,Yes,4,0
742,Bufog FC,Yes,Yes,0,1
122,Xegotube Tivuki,No,No,1,1
156,VezaZipok,Yes,No,2,1
557,Team Woqenahi,No,Yes,3,1
451,Lutarato Yomiberi,Yes,No,1,0
865,Team Kijul,Yes,Yes,1,2
657,Team Jeledek,Yes,Yes,2,3
263,Gigidoh FC,Yes,Yes,5,1
789,JoqiCuyot,No,Yes,4,2
847,QezYehe,Yes,Yes,4,0
946,WoyVov,Yes,Yes,2,0
451,Zisiyu Yupurof,No,Yes,2,2
445,Zoracig Esports,No,No,2,0
234,Gololuho Esports,No,No,5,0
154,Gamuxum Esports,No,No,1,2
949,Yelozen United,Yes,Yes,0,2
954,Jegevu FC,No,No,1,2
934,Team Gaboq,Yes,Yes,5,2
247,Tasen United,Yes,No,1,2
515,LulLefe,No,Yes,3,1
214,Team Pinofo,No,Yes,0,2
409,Huqucoh Tidogu,No,Yes,4,1
321,Team Wobum,Yes,No,1,0
627,RikiYec,No,Yes,2,3
827,Team Racarohi,No,Yes,5,2
238,Team Biqad,No,Yes,2,3
82,Team Qejoc,Yes,No,5,0
537,Hareluxa Cejowax,No,Yes,3,3
13,ZafazXiha,No,Yes,4,3
383,Team Vajidodu,Yes,Yes,0,1
161,QunubQas,Yes,Yes,2,2
492,Leguvus FC,No,No,5,3
261,FosZemu,No,Yes,4,2
166,Zijuhi Hewupu,No,Yes,5,0
765,ZuhDux,No,No,1,0
324,Zevozoza United,No,No,5,0
707,Wapul Jusurefe,No,Yes,0,1
577,Team Kuzucocu,No,No,2,0
357,LulLefe,No,Yes,4,1
210,XeqeqKim,No,No,0,3
371,Bibeqasu Gaming,No,No,4,3
521,Bolilawa Gaming,Yes,No,1,2
636,BojupJilu,Yes,No,5,1
127,Dimanofe Laqotur,No,No,0,2
488,DoturQod,Yes,Yes,4,1
456,Hemuxeb Lomem,Yes,No,4,0
871,PewuKim,Yes,Yes,5,2
739,VacQoho,Yes,Yes,2,1
738,Pexam Wajoto,Yes,Yes,4,0
883,NediDor,No,Yes,4,2
855,RoheGaric,No,Yes,2,2
344,Nekom FC,Yes,Yes,3,0
960,QajadKek,No,Yes,0,1
306,XizozFoso,No,No,2,2
220,Team Wobasi,No,Yes,0,0
145,Yazir Esports,Yes,No,1,0
624,Humoto Esports,Yes,No,4,1
966,Duneqo Esports,No,Yes,2,1
222,Pepoquzu Lulijuji,Yes,No,1,2
777,Nekek United,No,No,1,3
486,Yifac Gaming,No,No,4,2
167,Team Riyufuza,Yes,No,4,3
775,Team Xuvum,Yes,Yes,4,3
773,Zuvusuj Esports,No,Yes,2,0
153,Yobidot Qovamuyi,Yes,No,1,3
769,Bufog FC,Yes,No,1,1
986,Ducebu Esports,Yes,No,4,0
494,ToyiGum,Yes,No,4,1
955,Rixebew Husetojo,No,No,5,1
988,Xemiyona Watateya,Yes,Yes,1,0
769,Sayineju Borimoba,No,Yes,1,3
887,Hepiwewu United,Yes,No,3,1
563,Team Yipigut,Yes,Yes,4,0
425,Team Qemidod,No,No,1,2
668,Dovutose Esports,No,No,4,0
138,Wafeqa United,No,Yes,1,2
852,Waredife FC,No,Yes,5,0
952,Romasivi Gaming,Yes,Yes,0,1
233,Team Xewuxa,No,No,1,2
728,Huqucoh Tidogu,Yes,Yes,3,1
962,Tasen United,Yes,No,1,2
205,Zijuhi Hewupu,Yes,No,5,2
438,TutaJipil,Yes,No,4,1
995,Team Niwaxav,Yes,No,0,3
108,DosuPubu,Yes,No,0,3
964,BuwDax,Yes,Yes,3,2
529,Team Vajidodu,No,Yes,2,3
690,Team Zuxihup,No,Yes,2,3
258,Xemiyona Watateya,No,Yes,1,3
1000,Hevep Esports,Yes,Yes,3,1
695,Hejiqoba Kuxilo,No,Yes,2,2
18,Rovili Yekom,No,No,0,1
791,Team Vocadi,Yes,No,2,0
265,Joqimihe FC,No,Yes,3,1
905,Team Hepiwobu,No,No,5,3
518,Wujuso Tusiwi,Yes,No,0,3
301,Yitac United,No,Yes,3,1
885,Team Tecajofi,Yes,No,1,2
859,Fewena Muluwayu,No,Yes,1,0
880,Qunete Esports,Yes,No,0,3
982,GasLiw,Yes,Yes,4,0
245,Humoto Esports,No,Yes,2,2
117,VuzohPed,Yes,Yes,4,0
259,Team Xuvum,No,Yes,4,1
520,ReviLirul,Yes,No,3,2
694,Team Cotuwiha,No,Yes,1,2
910,Jubayuda Quheped,No,Yes,1,3
339,JiwoNawud,Yes,Yes,4,1
518,Team Nezolu,No,Yes,4,1
608,Team Xizuz,Yes,Yes,3,1
741,Team Qosorap,No,No,1,0
469,Zijuhi Hewupu,Yes,No,0,3
767,Qoxipa Esports,Yes,No,0,0
615,Sukud Gaming,Yes,Yes,2,3
203,Team Muwijin,No,No,3,0
994,Wunur Hoqomi,No,No,2,2
82,Wowenoy Havicuw,No,Yes,4,3
941,Reboloqu Tafeyaza,Yes,Yes,1,2
300,FuwRuh,No,Yes,1,1
672,Hicoyoh Cofim,Yes,No,5,0
527,Miseyogi FC,Yes,No,2,3
101,Paweqep Gaming,No,Yes,5,1
868,Vayana Katoqe,Yes,Yes,1,1
646,Desapiq FC,No,No,3,2
638,Yejifeg Pufojisi,Yes,Yes,1,2
832,Cefof United,No,Yes,2,1
620,Suhuta Cehire,No,No,4,1
38,Team Negoru,No,Yes,2,0
14,Suhuta Cehire,No,No,0,1
228,Team Hetuwor,Yes,Yes,2,2
522,Vufivese Pezusopo,No,Yes,2,3
